eventid_count,year,country,deaths_sum,year,Country,HappinessScore,Freedom,Health_LifeExpectancy,Economy_GDPperCapita,Trust_GovernmentCorruption,country,country_code,year,Intellecutal_Property_Indicator,country,country_code,year,military_expenses
1,2016,Guinea,1,2016,Guinea,3.607,0.30953,0.18829,0.22415,0.1192,Guinea,GIN,2016,NULL,Guinea,GIN,2016,11.6632419760947
1,2016,Haiti,7,2016,Haiti,4.028,0.12072,0.27494,0.34097,0.14476,Haiti,HTI,2016,1627980,Haiti,HTI,2016,0
1,2016,Honduras,2,2016,Honduras,4.871,0.26755,0.58383,0.69429,0.06906,Honduras,HND,2016,66573650.27,Honduras,HND,2016,5.94061680756429
1,2016,Hungary,0,2016,Hungary,5.145,0.1977,0.67608,1.24142,0.044719999999999996,Hungary,HUN,2016,1446684698,Hungary,HUN,2016,2.18322970657845
1025,2016,India,467,2016,India,4.404,0.40285,0.45091,0.74036,0.08722,India,IND,2016,5466041710,India,IND,2016,8.98510700751948
19,2016,Indonesia,22,2016,Indonesia,5.314,0.39237,0.49374,0.95104,0.00322,Indonesia,IDN,2016,1732362913,Indonesia,IDN,2016,4.70158620207812
3360,2016,Iraq,12207,2016,Iraq,4.575,0.24856,0.51076,1.07474,0.13635999999999998,Iraq,IRQ,2016,1500000,Iraq,IRQ,2016,8.38748689521659
15,2016,Ireland,2,2016,Ireland,6.907,0.54008,0.81455,1.48341,0.29754,Ireland,IRL,2016,76057451446,Ireland,IRL,2016,1.21773152629881
50,2016,Israel,16,2016,Israel,7.267,0.36432,0.84917,1.33766,0.08728,Israel,ISR,2016,1202100000,Israel,ISR,2016,11.5987246291802
11,2016,Italy,1,2016,Italy,5.977,0.18827,0.85102,1.35495,0.02556,Italy,ITA,2016,4679032553,Italy,ITA,2016,3.07543973250083
1,2016,Japan,19,2016,Japan,5.921,0.46761,0.91491,1.38007,0.18985,Japan,JPN,2016,20246369822,Japan,JPN,2016,2.55841477886205
9,2016,Jordan,35,2016,Jordan,5.303,0.36023,0.60712,0.99673,0.13297,Jordan,JOR,2016,24084507.04,Jordan,JOR,2016,15.8057617310354
3,2016,Kazakhstan,10,2016,Kazakhstan,5.919,0.4052,0.57386,1.22943,0.11132,Kazakhstan,KAZ,2016,126873674.7,Kazakhstan,KAZ,2016,4.34766012105036
65,2016,Kenya,72,2016,Kenya,4.356,0.40576,0.30147,0.52267,0.06686,Kenya,KEN,2016,144483927.9,Kenya,KEN,2016,4.80676569976357
